model,anchor_r1,r1_num,anchor_r2,r2_num,n_trials,top1_target_rate,top10_target_rate,baseline_rate,lift_top10
glyph_only/resnet18,火,86,口,30,30,0.0,0.20666666666666667,0.05629559150015858,3.6710985915492955
glyph_only/resnet18,火,86,言,149,30,0.2,0.10333333333333333,0.03853472882968601,2.6815637860082306
glyph_only/resnet18,火,86,鸟,196,30,0.03333333333333333,0.09333333333333334,0.010466222645099905,8.917575757575758
glyph_only/resnet18,火,86,鱼,195,30,0.2,0.07333333333333333,0.008721852204249921,8.408
glyph_only/resnet18,火,86,山,46,30,0.2,0.16,0.012686330478908976,12.612
glyph_only/resnet18,火,86,石,112,30,0.03333333333333333,0.12,0.013320647002854425,9.008571428571427
glyph_only/resnet18,火,86,田,102,30,0.16666666666666666,0.12666666666666668,0.005550269584522677,22.821714285714286
glyph_only/resnet18,火,86,目,109,30,0.03333333333333333,0.17333333333333334,0.012210593085949888,14.195324675324677
glyph_only/resnet18,木,75,水,85,30,0.2,0.09,0.06454170631144941,1.3944471744471745
glyph_only/resnet18,木,75,火,86,30,0.6666666666666666,0.17,0.021408182683158895,7.94088888888889
glyph_only/resnet18,木,75,金,167,30,0.23333333333333334,0.29333333333333333,0.03758325404376784,7.804894514767932
glyph_only/resnet18,木,75,心,61,30,0.0,0.13,0.03330161750713606,3.903714285714286
glyph_only/resnet18,木,75,口,30,30,0.0,0.23,0.05629559150015858,4.085577464788733
glyph_only/resnet18,木,75,言,149,30,0.3,0.09333333333333334,0.03853472882968601,2.4220576131687244
glyph_only/resnet18,木,75,鸟,196,30,0.1,0.08666666666666667,0.010466222645099905,8.280606060606061
glyph_only/resnet18,木,75,鱼,195,30,0.06666666666666667,0.06333333333333334,0.008721852204249921,7.261454545454546
glyph_only/resnet18,木,75,山,46,30,0.4666666666666667,0.17333333333333334,0.012686330478908976,13.663
glyph_only/resnet18,木,75,石,112,30,0.23333333333333334,0.21666666666666667,0.013320647002854425,16.26547619047619
glyph_only/resnet18,木,75,田,102,30,0.0,0.06,0.005550269584522677,10.810285714285714
glyph_only/resnet18,木,75,目,109,30,0.06666666666666667,0.09666666666666666,0.012210593085949888,7.9166233766233765
glyph_only/resnet18,金,167,水,85,30,0.5666666666666667,0.18,0.06454170631144941,2.788894348894349
glyph_only/resnet18,金,167,火,86,30,0.8333333333333334,0.23666666666666666,0.021408182683158895,11.054962962962964
glyph_only/resnet18,金,167,木,75,30,0.4666666666666667,0.7133333333333334,0.047573739295908656,14.994266666666668
glyph_only/resnet18,金,167,心,61,30,0.0,0.05,0.03330161750713606,1.5014285714285716
